Size (360, 360, 360); Boundaries 20; Domains (9, 9, 1); Time 49.01 s; Iterations 333; Residual norm 9.802e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 10, 1); Time 52.75 s; Iterations 332; Residual norm 9.722e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 11, 1); Time 57.01 s; Iterations 333; Residual norm 9.804e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 12, 1); Time 61.72 s; Iterations 333; Residual norm 9.787e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 13, 1); Time 66.41 s; Iterations 333; Residual norm 9.815e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 14, 1); Time 72.68 s; Iterations 333; Residual norm 9.804e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 15, 1); Time 75.91 s; Iterations 333; Residual norm 9.802e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 16, 1); Time 79.67 s; Iterations 332; Residual norm 9.722e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 17, 1); Time 83.57 s; Iterations 333; Residual norm 9.811e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 18, 1); Time 87.55 s; Iterations 333; Residual norm 9.786e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 19, 1); Time 91.12 s; Iterations 333; Residual norm 9.858e-07 
Size (360, 360, 360); Boundaries 20; Domains (9, 20, 1); Time 97.14 s; Iterations 332; Residual norm 9.748e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 1, 1); Time 10.19 s; Iterations 220; Residual norm 9.696e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 2, 1); Time 22.23 s; Iterations 330; Residual norm 9.966e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 3, 1); Time 28.52 s; Iterations 332; Residual norm 9.711e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 4, 1); Time 32.10 s; Iterations 331; Residual norm 9.656e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 5, 1); Time 36.07 s; Iterations 332; Residual norm 9.712e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 6, 1); Time 41.24 s; Iterations 331; Residual norm 9.658e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 7, 1); Time 47.64 s; Iterations 332; Residual norm 9.713e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 8, 1); Time 49.49 s; Iterations 331; Residual norm 9.665e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 9, 1); Time 53.54 s; Iterations 332; Residual norm 9.718e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 10, 1); Time 57.63 s; Iterations 331; Residual norm 9.661e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 11, 1); Time 62.85 s; Iterations 332; Residual norm 9.721e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 12, 1); Time 67.16 s; Iterations 332; Residual norm 9.705e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 13, 1); Time 70.85 s; Iterations 332; Residual norm 9.731e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 14, 1); Time 75.12 s; Iterations 332; Residual norm 9.721e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 15, 1); Time 80.54 s; Iterations 332; Residual norm 9.720e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 16, 1); Time 84.61 s; Iterations 331; Residual norm 9.663e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 17, 1); Time 89.87 s; Iterations 332; Residual norm 9.728e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 18, 1); Time 94.85 s; Iterations 332; Residual norm 9.704e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 19, 1); Time 98.81 s; Iterations 332; Residual norm 9.773e-07 
Size (360, 360, 360); Boundaries 20; Domains (10, 20, 1); Time 104.10 s; Iterations 331; Residual norm 9.688e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 1, 1); Time 10.61 s; Iterations 222; Residual norm 9.604e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 2, 1); Time 23.23 s; Iterations 332; Residual norm 9.676e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 3, 1); Time 29.83 s; Iterations 333; Residual norm 9.798e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 4, 1); Time 33.89 s; Iterations 332; Residual norm 9.720e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 5, 1); Time 38.04 s; Iterations 333; Residual norm 9.800e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 6, 1); Time 43.54 s; Iterations 332; Residual norm 9.721e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 7, 1); Time 49.66 s; Iterations 333; Residual norm 9.801e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 8, 1); Time 52.44 s; Iterations 332; Residual norm 9.729e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 9, 1); Time 57.63 s; Iterations 333; Residual norm 9.806e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 10, 1); Time 61.82 s; Iterations 332; Residual norm 9.726e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 11, 1); Time 67.12 s; Iterations 333; Residual norm 9.808e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 12, 1); Time 73.32 s; Iterations 333; Residual norm 9.791e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 13, 1); Time 77.75 s; Iterations 333; Residual norm 9.819e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 14, 1); Time 83.00 s; Iterations 333; Residual norm 9.808e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 15, 1); Time 87.78 s; Iterations 333; Residual norm 9.807e-07 
